"Because of this Award, I am more...",CODE
Confident,C
,
Very proud of myself! I cannot wait to use my scholarship!,O
Confident and up to challenges ,C
Condiftident and feel more included in a community ,C
Motivated and self-aware of what I have accomplished.,M
,
likely to put myself out there and apply for positions I wouldn't have before.,C
Motivated to move forward with this pathway in computing and to complete my goals.,M
,
,
,
Aware of what it takes to have a career in computing. ,A
,
,
motivated to make a technological impact on the community,M
,
Confident.,C
Inclined to get into the women in computing community. ,E
,
,
Confident ,C
,
,
,
,
Motivated to pursue my interest in computer science.,M
"inspired, interested, and excited to explore my passions in computer science. I enjoyed meeting so many interesting young women who are also pursuing fields in computing and technology.",I
confident of my abilities.,C
excited to pursue a degree in computer science and collaborate with other women in the industry!,M
,
Understanding of the fact that I am able to be an engineer which is my dream.,C
interested in STEM and working to be more involved in engineering and computing,I
confident in my abilities in computer science.,
,
aware of the need for more diversity in STEM.,A
confident in my abilities,C
,
motivated to pursue my career in computing.,M
confident,C
"Comfortable talking to adults, potential employers, etc.",C
,
inclined to pursue cybersecurity.,E
,
Confident,C
Applicable for Scholarships ,C
Confident in my abilities ,C
,
confident in my abilities to succeed in this field.,C
Interested in computing and more connected to other girls like me,I
Open and enthusiastic about computing and computer science careers. ,I
Confident in my ability to go into the STEM even if I am a female.,C
,
,
encouraged to do computer science ,E
,
,
Eger to learn ,M
Aware of my intrest in web development.,A
confident in my technology-related abilities,C
Confident,C
aware of the importance of having a supportive group of women who deal with the same issues as I do,A
encouraged to inspire other young women to work in computing.,E
,
Confident,C
Informed about different career paths possible.,A
Confident ,C
Confident,C
encouraged,E
,
,
ambitious in my educational pursuits.,M
,
likely to study computer science at my university. This group of women will  serve as a backbone  to strengthen the confidence of many women.,M
,
,
Confident and proud of my abilities,C
confident of my own abilities ,C
,
I am more confident of my computing abilities.,C
,
inclined to work harder and apply for other opportunities ,M
Aware of opportunities as well as how many other young women like me are interested in computer science. ,A
Self confident.,C
motivated to keep the spirit of women in technology strong. ,M
"confident in my computing abilities, and more willing to pursue more computer science opportunities",C
Aware that there are girls that like what I like to do.,A
"Confident, empowered, and driven. I feel more than ever that I can impact my community through my computing efforts. ",C
Inspired and Passionate,E
proud and aware of the substantial role of women in the computer science field.,A
interested in computer science and programming. ,I
confident in my computing abilities. ,C
"confident in my ability to code and to be successful in the field of technology and computing. Because of this Award, I am more likely to pursue a degree in which I will be using computing and coding on a regular basis.",C
Inspired to pursue a computing career and learn about the various careers available.,E
Connected with the other young women that are interested in the computing careers.,CN
Inspired to continue to peruse a career in computer science.,E
,
,
Confident,C
motivated,M
Encouraged to pursue a career in STEM,E
,
,
Open to a career in computing ,I
confident in my computing abilities.,C
Confident in my abilities in computer science.,C
,
recognized for my interests,O
Motivated to pursue a computing career. ,M
Confident ,C
,
"more confident about myself, I feel motivated to improve my skills in computing and also to motivate more young woman in school to pursue STEM careers or joint clubs in school that would help them go in the right path to be prepare for college.  ",C
confident in my computing abilities.,C
Confident.,C
confident,C
,
,
,
confident about my skills,C
Interested in technology. ,I
,
Aware that there are so many girls in my region that love computing like me.,A
,
,
Proud of myself.,O
Knowledgeable and motivated ,O
,
motivated to pursue a CS degree,M
Interested in applying to participate and be involved in various opportunities. ,I
,
confident in my abilities to pursue a college degree in math/ computational science.,C
Proud of my computing accomplishments thus far.,O
,
motivated to stay with computing. I want to find computing in everyday things I do.,M
,
,
"Confident, happy, into computer science.",C
,
Confident.,C
,
motivated to continue pursuing a degree in Computer Science. ,M
confident in my computing abilities and connected with people like me.,C
,
,
affirmed about my accomplishments,C
Interested in learning different types of codes.,I
,
Confident in my skills and abilities relating to computer science.,C
,
Confident about my place in a tech field,C
confident in my computing abilities and motivated towards the future.,C
Confident in my computing abilities.,C
confident.,C
,
,
confident to apply to other scholarships and not as self conscious to tell someone I enjoy computer science. ,C
"motivated in pursuing my passion along with computing, which led me to choose bioengineering as my college major  ",M
,
,
,
,
,
,
Prouder of myself. ,O
confident in my abilities,C
Confident in my accomplishments ,C
motivated,M
Positive ,O
Iam more activite in my community and find more opputinty arpund technolgy ,CN
,
"Into technology, i want to keep on going into the industrial engineering program.",M
Confident in my ability to attend a STEM post secondary education. ,C
confident.,C
,
Involved with computer activities,CN
Confident in my career choice ,C
Confident in my computing abilities. Since the award I have been stepping up more on my robotics teams and facing the programming challenges without hesitation.,C
,
,
,
inspired to pursue a career in CS!,E
Confident ,C
Recognized for my interest and abilities. ,C
Confident in my abilities to achieve in computing.,C
Encouraged to expand my abilities in computing.,E
,
Confident and proud of what I have done,C
confident in my computing abilities! I am also more excited to empower girls to pursue computer science.,C
confident in my abilities.,C
,
thoughtful of what actions I may be taking to influence my future.,O
Confident ,C
motivated,M
I am more motivated.,M
,
confident,C
No Idea,B
involved in the computing world,CN
,
,
encouraging to other young girls like myself that long to pursue a career in STEM.,E
N/A,B
confident in my computer science skills and excited for my future in computer science.,C
Confident,C
confident. I believe I can do computing if I work on it more.,C
Confident,C
,
Confident in myself and my work. ,C
Aware of opportunities in computing for women,A
Confident ,C
"I am more encouraged, as a woman, to pursue the career. ",E
,
confident.,C
Aware of the women in this field. ,A
confident regarding my abilities to make a change in the computer science and technology society. ,C
Inclined to major in technology. ,E
interested in STEM ,I
,
,
,
aware of the possible careers in commuting that’s to the panel at the award ceremony.,A
confident in my future career.,C
,
Interested in computers,I
Confident in my abilities ,C
confident in my ability to follow a career in tech. ,C
confident on my achievement and computing skill,C
confident in that I have the potential to win such an award.,C
confident that I can be a female in STEM,C
,
Competent of the amount of strong women in this field,O
excited to see all of the possible career options in this awesome field!,M
Proud of myself and my accomplishments in computing and technology. ,O
,
Inclined to pursue computer science in college instead of solely engineering. ,E
confident in my coding and computer science abilities.,C
Empowered.,C
likely to pursue computer science in college,M
,
Motivated to pursue a computing career. ,M
Confident in myself,C
confident in my coding abillites,C
likely to pursue a career in web development ,M
,
,
,
into computers and wanting to go into computer-science.,I
"confident, motivated ",C
Motivated,M
,
"Because of this Award, I am more likely to have the motivation to push myself to further my programming skills and have the drive, as well as boosted confidence, to apply for computing internships.",M
encouraged to pursue computer science,E
Aware of what other girls are accomplishing. ,A
enthusiastic about computing.,I
,
Motivated to further my computing skills,M
Inspired to continue a career path in computing as well as engineering.,M
,
Self confident and self aware! ,C
"Because of this Award, I am more confident in computing and proud to be a part of NCWIT.",C
,
,
,
interested in computing. ,I
Confident in the career path I have chosen,C
Aware of my opportunities in the computing world.,A
Confident in myself and I believe I can do more with computing as a whole.,C
Confident about what career to follow after high school,C
,
"Curious to seek out help from others online, and other hiding opportunities out there.",I
,
into looking for more oppurtunites  ,I
,
Confident,C
Confident in my abilities and feel more motivated to continue improving myself in computing,C
confident in pursuing in the computing field. I am not the only girl who is trying to become a software engineer.,C
Confident in myself in what I want to achieve in technology,C
Aware and encouraged to be a successful Information security Analyst.,A
,
open to a community of woman who have the same interest as me.,I
,
Confident,C
,
,
"Prepared for a college environment that involves computing. I learned so much at the ceremony, about internships, classes, jobs, etc. that will be invaluable for me when I go to college in the fall.",C
confident about who I am and where I stand with computing. ,C
,
confident in my skills as a programmer,C
Confident and hopeful. ,C
,
Confident in trying new things with technology.,C
Motivated to pursue computing classes and careers. ,M
,
"Confident that I can pursue computer science. I don't have a high self-esteem, and to me, my grades are not 100% perfect or close to where I want them to be at. This award really helped boost my morale and made me believe that I had the ability to pursue whatever I wanted to, and showed me that I wasn't a failiure. ",C
Confident in my computer science abilities and chances in the work force.,C
,
,
proud of being a girl seeking a place in male dominated field.,O
Dedicated to pursuing a career in CS,O
aware of the female coding community.,A
,
appreciative of the encouragement in the community,O
,
Confident in my abilities,C
Experienced,O
Confident ,C
Confident in myself and pushing myself even further to go for the bigger goals I have set for myself.,C
thoughtful and helpful with computers ,C
,
,
confident ,C
,
confident in my ability to be a leader in STEM fields!,C
likely to continue my exploration in STEM and pursue a STEM career which also requires coding. I feel more confident about having the potential to follow my dreams.,M
confident in my works ,C
Geared and have a knack for technology,O
,
confident in my computing abilities.,C
confident in my tech abilities and encouraged to pursue comp sci in the future! I felt very rewarded and grateful for being recognized ,C
Positive about being a good skilled woman in computing,O
,
confident as a girl in technology,C
,
connected to other women in the technology field,CN
"Because of this award i am more aware of technology, i saw it but never really saw me because you really don't see girls in computing. ",A
Excited to peruse a career in computing. At first I thought this profession was boring. But then I realized there was much more to computer science and women have more opportunity in computer science. ,M
,
Confident in the fact that I want to peruse cs in college. Prior to this experience and the experience at State Farm I was not sure but meeting all these successful women and seeing their experience in the work place solidified the idea that I wanted to peruse cs.,C
driven to work for more accomplishments. ,M
"Inspired to pursue STEM, and inspire other girls to do the same.",M
,
,
"encourage to pursue a career in computing, despite the lack who identify as my gender.",E
,
"Confident, I didn't realize how many people love computing as much as I do.",C
,
,
committed,M
"Confident in my computer, mechanical design and leadership skills.",C
Aware of the number of women in computing. ,A
confident in my abilities,C
ready to take on the challenges that college will bring me next year in my computer science courses. ,C
,
,
proud of my accomplishments and time spent computing.,O
,
,
Confident in my abilities.,C
,
Interested on doing outreach to other girls interested in computer science and more interested in working on programing projects to help my community and others.,I
,
Likely to be able to receive opportunities in the workplace and school that would be far out of reach to me,O
excited about computing,M
,
confident in what I am pursuing and I feel motivated to go beyond in my career.,C
Confident,C
Confident in my ability to purse computer science in the future ,C
Confident of my self going into a technological field,C
,
,
confident in my computing abilities.,C
Confident in my abilities,C
,
,
,
Motivated to push myself to do better in my career choice ,M
I am more confident. I thought I was terrible at technology.. at least I know I’m decent now..,C
aware of opportunities,A
confident in myself and it helped me start a Vex robotics club at my school with my sister.,C
,
...confident in my ability to make a difference as a woman in technology.,C
Confident,C
confident.,C
,
Motivated to be in the tech field,M
Confident,C
Confident to major in CS,C
,
,
aware of other girls who want to pursue the same field as me. ,A
,
Confident in my ablities. ,C
Knowledge about computing major,A
confident,C
,
likely to participate in computing-related opportunities and activities.,M
confident that I can pursue computer science as a career.,C
confident in the computing work that I do ,C
confident,C
Confident that I know I can complete computer engineering ,C
,
confident ,C
Confident. ,C
inspired by what other women have been doing with their computer science and engineering degrees.,E
,
,
,
Interested in having a career in Computing.,I
Confident in my abilities ,C
,
,
likely to confidently pursue a degree in the computer science. ,M
interested in pursuing a career in computing,I
"...confident of my position in the tech world, and what I can contribute and aware of difficulties women may face, but also more knowledgeable in how to combat that. ",C
Motivated to pursue a computing career.,M
Confident in myself as a female pursuing technology,
motivated to apply again next year for the scholarships that the community can offer and the opportunities that come with it. ,M
Because of this award I am more likely to go into a computing field. I am also going to try and start an Aspire IT program. ,A
confident in communicating about computers with others.,C
Confident in my abilities,C
,
,
motivated to do well in my chosen major.,M
exposed to opportunities.,A
Motivated to continue on in it,M
"encouraged to keep focus on the path, I have set out for myself as a mechanical engineer and as someone who is passionate about being involved in my community",E
Confident with my computing abilities.,C
Confident about pursuing a career in technology and connecting with the women in the program.,C
"likely to get a scholarship from other ""diversity"" themed organizations.",M
,
,
,
Goal-driven for computer science related things ,M
"Confident that although I am a beginner in the programming “world,” I know that there are many others like me.",C
,
,
,
,
versed in Computing,A
aware of the skill of my professor to recruit female students compared to other school professors based on the lack of female involvement at other schools that was mentioned at the ceremony. ,A
,
Confident and happy with my choice in my career choice.,C
excited to pursue computer science and find all that I can in the feild.,M
,
confident in getting my STEM on!,C
Interested in computing ,I
passionate in my pursuit of computer science,I
"Interested in persuing a career in technology. Before, I had not considered it as a realistic option, but now I am taking it more seriously. ",I
,
,
,
,
,
confident in my computing abilities and encouraged to go into the computing field.,C
Confident,C
,
,
Confident in my abilities for computing and robotics,C
,
,
confident in what I want to do in the future.,C
,
,
"optimistic that I possess (or will possess) the skills necessary to work in the technology industry, changing it for the better.",C
confident,C
,
"I am more inspired to pursue a hard tech education/career. However, I am more self-conscious of my own accomplishments because there are so many amazing girls who got into amazing schools who have done amazing things. That's not necessarily negative; I am amazed by them rather than intimidated or jealous, and I am encouraged to strive further.",M
connected with other women in tech,CN
,
,
confident and motivated in my abilities. ,C
,
confident in my abilities as a prospective computer science major.,C
,
aware of the different computing fields,A
,
Interested in the career of computer science.,I
,
confident that I can do well in the field of computer science.,C
Confident in my computing interest and hopes to pursue a career in technology.  ,C
encouraged to work in the area of computing,E
Confident in my ability to be highly successful if I choose to go into a career involving technology.,C
Confident and curious,C
I am more confident in myself and my abilities ,C
In awe about how amazing some computing females are,O
I am more positive and applying for more scholarships and getting to know more people.,C
,
,
Proud and confident,C
Confident,C
Confident,C
Motivated,M
Likely to pursue a software related career.,M
,
Confident and inspired to get even more involved in computer science,C
,
,
Confident about myself,C
confident in my computational ability ,C
,
,
"willing to share my ideas and experiences in the STEM fields, especially with girls.",C
Confident of my abilities in computing,C
,
"aware that no one has to be a genius to be able to code--it truly does open doors, even for decidedly non-math people.",A
,
confident in my achievements,C
Confident,C
Confident in myself and connected with out her girls who have the same passion,C
,
More confident in computer science. ,C
,
Confident with my technical skills. ,C
confident ,C
,
Committed to continuing my computing education. ,M
Inspired to keep going ,M
Confident,C
Determined and excited for a future in technology   ,M
confident in my computer programming,C
,
aware of the supporting community I have.,A
Confident ,C
,
,
inspire me and proud of myself. It makes me Countian working hard in technology and get my future goals straight to the head. I'm really proud of myself and grateful to be part of the NCWIT.,M
Excited about my future as a computer ,M
Confident in my abilities,C
Confident,C
Confident in my abilities in computer science. ,C
Confident that I will be able to peruse a computer science career,C
likely to apply for other awards/scholarships in computing.,M
,
Confident,C
excited for my future in computer science,M
confident in my computing skills. ,C
Confident and excited about the future ,C
likely to be active in networking because I have seen the importance of it.,M
,
,
motivated to apply again to get $ if possible.,M
,
Confident about my coding skills,C
motivated to accomplish more in Technology and Computer Science to reach others. ,M
Aware of how I need connection to thrive in the world and am grateful for the community of women I have become a part of,A
inspired to continue my work in computer science both now and in the future.,E
motivated to continue to persue computer science.,M
,
confident in my achievement potential in computer science.,C
Inspired to pursue my interest,E
open to search for new opportunities.,I
involved with technology,I
Interested in computing,I
Aware of the need to inspire more women to pursue technology related careers,A
,
,
confident in my potential,C
Confident in my abilities,C
,
committed to computer science,I
Likely to explore my options in computing and engineering,M
,
,
Ready to speak in front of Moe and more people.,C
,
Self-confident,C
,
Confident.,C
Confident about computing ,C
Confident ,C
Proud of the accomplishment I have made.,O
,
,
,
confident.,C
hopeful that there is a community that is empowering young women to show their tech savviness. ,O
confident in my ability to pursue a career in tech.,C
confident that I will be successful in college and searching for a career. ,C
confident ,C
,
,
interested and confident in computation-related fields.,I
,
aware of the opportunities I have access to and able to connect with an amazing group of supporting women.,A
confident in my computing skills and can see myself joining the computing community of professionals in the future.,C
Confident,C
,
confident,C
confident in myself both as an individual and as a coder,C
,
confident about my career choice,C
,
likely to get into college! :),O
"Encouraged to help other girls in computing, passionate about helping my community, excited to talk to others about the future of technology. ",E
Inclined to apply to more things like this.,M
,
Open about my love for computer science,C
confident,C
,
,
,
"Motivated, confident ",M
Confident with my computing abilites,C
confident in showcasing my achievements in computing.,C
confident about my accomplishments.,C
likely to actively pursue opportunities in technology.,M
Confident. ,C
,
,
,
Confident about having an impact and making a difference through STEM,C
Confident,C
Excited to help other young girls be influenced to do computing like I have been.,M
confident in my abilities relating to technology,C
,
"inspired by the women I see around me and encouraged to partake in the computer science and STEM world, despite being a woman. ",E
,
,
Aware of opportunities ,A
Confident in my computing abilities and motivated to use computing to better my community.,C
Confident and sure of what I would like to pursue in the future ,C
,
,
,
confident,C
Aware of the rising number of women pursuing careers in technology. ,A
Confident that I know what I'm doing in a situation and that I can keep up with the cyber program at my school,C
Confident in my future in computing and technology and aware of those who are there to support me.,C
,
,
,
,
,
,
,
Inspired and hardworking. I want to get more involved in computing and expand my knowledge more than I have ever wanted to. ,E
Confident in my abilities ,C
NA,B
,
,
Proud of my accomplishments,O
perseverant,M
Aware of my skills.,A
Interesting in a computer science education ,I
,
,
,
,
Interested in computing and engineering ,I
Confident in my aspirations towards a technology feild. ,C
,
,
Confident,C
confident,C
Inspired,E
,
Motivated,M
,
Aware of opportunities that I am eligible for.,A
,
,
,
likely to pursue a computing career in the future.,M
,
Confident. ,C
,
,
Confident in my abilities,C
,
,
Confident in myself.,C
,
,
,
Confident in my ability to achieve my dream career (video game development.),C
Motivated,M
"confident in my abilities, but also inspired by the amazing accomplishments of the other awardees!",C
Confident about my ability and excited to pursue CS in the future,C
Confident. Motivated.,C
,
confident in my career choices,C
,
"Happy, proud",O
