Have you joined the NCWIT Aspirations in Computing Facebook group?,"In order to improve our program, please tell us why you have not joined the Facebook Group.",CODE
Yes,,
No,I dont have a facebook,don’t have fb
,,
No,I do not have a Facebook. ,don’t have fb
Yes,,
No,I use a different email for Facebook than the email I use to contact NCWIT.,problems
Yes,,
,,
Yes,,
Yes,,
Yes,,
Yes,,
Yes,,
Yes,,
No,"I didn't really pay attention to the information provided in the mail, so I missed out on joining the Facebook Group. Moreover, I do not use facebook at all, so in a sense it was not relevant to me.",don’t have fb
Yes,,
No,"While I have a Facebook account, I do not use it reguarly, and only check it if there is something majorly important to my social life that I need to recognize. ",not active on fb
No,I don't have a Facebook account ,don’t have fb
Yes,,
No,I don’t have Facebook ,don’t have fb
No,I did not know that there was a Facebook group to join.,didn't know about group
Yes,,
Yes,,
No,I do not have a facebook account. ,don’t have fb
No,I do not go on Facebook very often ,not active on fb
Yes,,
Yes,,
No,I do not have a Facebook account.,don’t have fb
No,,
No,,
Yes,,
No,I do not use Facebook very often.,not active on fb
No,I do not have a Facebook account.,don’t have fb
No,I don’t want to join. Nobody talks about technology stuff it’s literally like a mini gossip group.,no interest
,,
No,I don't already use Facebook. I am planning to create an account to have access to the group soon. ,don’t have fb
Yes,,
No,I do not have a Facebook account. ,don’t have fb
,,
No,I do not have a Facebook or any social media account for that matter.,don’t have fb
Yes,,
Yes,,
Yes,,
Yes,,
Yes,,
No,I do not have a Facebook account. ,don’t have fb
,,
No,I don't have a Facebook account ,don’t have fb
Yes,,
Yes,,
No,They invited me with he email I had listed on the application but I use a different email for my Facebook account.,problems
No,I do not have a Facebook account.,don’t have fb
No,I don’t have facebook,don’t have fb
Yes,,
No,I don’t have a Facebook ,don’t have fb
Yes,,
No,I don't use Facebook ,don’t have fb
,,
No,"The link that led to the facebook group didn't work, and no follow up link was sent since I reported it.",problems
Yes,,
No,I haven’t received an email about it ,didn't know about group
No,I don't have Facebook! I was under 13 when Facebook was cool and thus legally ineligible for an account. ,don’t have fb
No,I do not have a Facebook. ,don’t have fb
,,
Yes,,
Yes,,
No,i don't have a facebook. not everyone has a facebook! stop pretending everyone has a facebook!,don’t have fb
No,I don't really use Facebook,not active on fb
No,I do not have a Facebook account at this point in time. But I do plan on creating one in the near future. ,don’t have fb
Yes,,
Yes,,
Yes,,
Yes,,
,,
No,"Haven't got the chance to, yet.",no interest
Yes,,
Yes,,
No,I don’t have Facebook,don’t have fb
Yes,,
No,I do not have a Facebook account,don’t have fb
No,Keep forgetting to actually create a Facebook account,don’t have fb
No,I haven’t gotten an invitation yet. ,didn't know about group
Yes,,
Yes,,
Yes,,
,,
No,"I don't use Facebook, and I don't really enjoy social media.",don’t have fb
No,I don’t know the link to join,didn't know about group
No,I do not use Facebook often and I do not know my password,don’t have fb
Yes,,
No,I don't have a Facebook account.,don’t have fb
No,,
No,Haven't got a chance yet,no interest
No,I never got an invite to it,didn't know about group
Yes,,
No,I don't use Facebook,don’t have fb
Yes,,
Yes,,
No,When I tried to join the group it wouldn't let me,problems
Yes,,
No,I do not have a Facebook.,don’t have fb
Yes,,
No,"I prefer to stay off of social media when I can (I'm an old soul who doesn't belong in this tech-driven world, which is ironic given this survey about computer science awards).",don’t have fb
No,,
No,"I don't have a Facebook account, so I haven't joined.",don’t have fb
No,Because I do not have Facebook,don’t have fb
Yes,,
No,I keep forgetting to,no interest
No,The network was bad. But I will try again.,problems
,,
No,I did not know there was a Facebook group. ,didn't know about group
No,I don’t have a Facebook ,don’t have fb
No,"Personally, I do not plan on opening a facebook account as I won't have much of a use for it.",don’t have fb
No,"I want to, but I believe I need an invitation. I did not realize that invitation came in an email. ",didn't know about group
No,I don’t have a Facebook account ,don’t have fb
Yes,,
Yes,,
No,i am not in the facebook group,didn't know about group
,,
Yes,,
No,Do not have Facebook ,don’t have fb
No,The invite has been sent but I have just not received it it’s not on my Facebook page or my email ,problems
,,
Yes,,
Yes,,
Yes,,
Yes,,
Yes,,
No,"I don't have a Facebook, or any social media",don’t have fb
Yes,,
No,,
Yes,,
Yes,,
No,I did not know there was a Facebook Group. ,didn't know about group
No,"I don't have a Facebook account yet, but I'm planning on getting one. ",don’t have fb
No,I don't have a Facebook account because I am a odd duck that simply does not believe in using social media. While I appreciate using technology to enrich my life I want to keep my social life in the real world not the digital one.,don’t have fb
Yes,,
No,,
No,I did not receive this email.,didn't know about group
Yes,,
No,I don’t have a Facebook,don’t have fb
Yes,,
Yes,,
No,do not have a facebook,don’t have fb
Yes,,
No,I don't have. Facebook ,don’t have fb
Yes,,
No,"My Facebook was not working, but I have fixed it and I will join if still possible!",problems
Yes,,
No,The group did not appear when I clicked the link inviting me to join.,didn't know about group
Yes,,
Yes,,
No,I rarely use my Facebook account and have not gotten around to logging back on and joining.,not active on fb
No,I don't have a Facebook,don’t have fb
No,I'm not active on Facebook,not active on fb
No,I do not necessarily use facebook,not active on fb
No,I do not have facebook. I have snapchat and instagram. ,don’t have fb
No,I have not received an email to join the Facebook group,didn't know about group
No,Because I just haven't yet and need to fix my email.,don’t have fb
Yes,,
Yes,,
No,I haven't joined the Facebook group because my mother doesn't want me with a Facebook account.,don’t have fb
No,,
No,I did not know about it.,didn't know about group
No,have not been invited into it and i sent a request to the email and they never answered back,problems
Yes,,
No,I actually just hadn't been active on Facebook to join.  ,didn't know about group
Yes,,
No,,
Yes,,
Yes,,
Yes,,
Yes,,
Yes,,
Yes,,
Yes,,
No,I don't have a facebook,don’t have fb
Yes,,
Yes,,
No,I don't use Facebook and am not a huge fan of Social Media.,don’t have fb
,,
No,I do not have a Facebook account.,don’t have fb
No,Could not find group for Georgia region,didn't know about group
No,The email link didn’t work.,problems
No,,
Yes,,
Yes,,
No,Have gotten around to it yet   ,no interest
No,"The invitation to join was sent to the wrong email address. I requested that the invitation be sent to the correct address (indy.bird.luvr@gmail.com), but it has not been sent to that address yet.",problems
Yes,,
Yes,,
No,I don't have one. I was going to make one for the group but I thought it would be strange if I only used it for that. I don't have much interest in the website since my friends don't use it.,don’t have fb
No,Was not aware there was a Facebook group.  ,didn't know about group
No,,
Yes,,
No,I did not realize there was one until now,didn't know about group
,,
No,I do not have a facebook,don’t have fb
No,I was not aware of it,didn't know about group
Yes,,
No,I didn't even know that NCWIT even had a page.,didn't know about group
No,My Facebook account is linked to another email address so I couldn't join through the sent link.,problems
Yes,,
Yes,,
Yes,,
Yes,,
Yes,,
No,I don’t go on facebook ,don’t have fb
Yes,,
Yes,,
Yes,,
Yes,,
No,Do not have Facebook,don’t have fb
No,I did not know there was a Facebook Group ,didn't know about group
Yes,,
,,
No,"I have not joined the group because the link that was sent in the email was broken, therefore I cannot access it.",problems
Yes,,
No,I do not use Facebook often ,not active on fb
No,,
Yes,,
No,The invitation expired. ,problems
Yes,,
No,I have not received an email. ,didn't know about group
Yes,,
Yes,,
Yes,,
Yes,,
No,Did not receive an email. ,didn't know about group
Yes,,
No,,
No,,
No,I don’t use Facebook ,don’t have fb
No,I do not currently have a Facebook account. ,don’t have fb
Yes,,
Yes,,
Yes,,
Yes,,
No,I did not know about it,didn't know about group
No,I don't have Facebook,don’t have fb
No,I do not have Facebook.,don’t have fb
No,I’m not on Facebook often. ,not active on fb
Yes,,
,,
Yes,,
Yes,,
Yes,,
No,I have not gotten the facebook app,don’t have fb
No,I don’t have a Facebook account.,don’t have fb
Yes,,
No,,
Yes,,
Yes,,
Yes,,
No,I don’t have Facebook.,don’t have fb
Yes,,
Yes,,
No,I don't have Facebook,don’t have fb
Yes,,
,,
No,"I completely forgot to join it, but I will now!",no interest
No,I don’t have a Facebook account.,don’t have fb
No,I have not seen the email yet ,didn't know about group
,,
No,I did not realize there was a Facebook Group.,didn't know about group
Yes,,
Yes,,
No,Cannot find email. ,didn't know about group
Yes,,
No,I have not gotten around to it. ,no interest
Yes,,
Yes,,
No,"I do not use Facebook, unfortunately. ",don’t have fb
No,I did not know about the Facebook group,didn't know about group
No,Haven't done it yet,no interest
Yes,,
No,I didn't know it existed.,didn't know about group
No,,
No,"I would, but I don’t have a facebook account. ",don’t have fb
No,,
No,I let aiccommunity@ncwit.org know ASAP as per the email I received which told me to do so for a change of email/Facebook invite. I have not received a response back nor a change to the correct Facebook email account address I have. Alison has emailed me with the invite to the same incorrect email address. I have yet to further address this issue. Thanks,problems
No,I just haven't got around to joining the Facebook group and I forgot to but I will.,no interest
Yes,,
Yes,,
No,I do not own a facebook,don’t have fb
Yes,,
No,I don't have a Facebook account  ,don’t have fb
No,I do not have a Facebook.,don’t have fb
,,
Yes,,
No,I wasn't aware of having to join the Facebook Group.,didn't know about group
Yes,,
No,I don't know how to! :(,didn't know about group
No,I don't use Facebook. ,don’t have fb
No,I currently do not have a Facebook account.,don’t have fb
Yes,,
Yes,,
No,I don’t use Facebook ,don’t have fb
No,It didn't let me access the page through the link I was given. ,problems
,,
Yes,,
No,I didn't receive an email. ,didn't know about group
No,I did not know it exists.,didn't know about group
No,,
No,"I have a Facebook, I just do not use it very often, I favor instagram, or snapchat.",not active on fb
No,don’t have facebook,don’t have fb
Yes,,
No,I don’t have a facebook account.,don’t have fb
Yes,,
Yes,,
Yes,,
No,"I have not yet joined the facebook group because I do not have a facebook account! As soon as I finish my final IB exams, I will get on this right away and join the NCWIT group!",don’t have fb
No,I can't find the group on Facebook when I search for it!,didn't know about group
Yes,,
,,
Yes,,
,,
Yes,,
No,I do not have a Facebook and do not wish to create a Facebook account.,don’t have fb
No,"I was not sent an invitation to even join it! I should have received an email weeks ago, but never did.",didn't know about group
No,I don’t use facebook,don’t have fb
No,I don't use facebook,don’t have fb
No,I don't use facebook,don’t have fb
No,"I can't find it  -  The NCWIT Award for Aspirations Facebook page exists, and it is a public page, but I searched and couldn't find the group. I would join if l did.",problems
No,,
Yes,,
No,I clicked on the link but it said it wouldn't let me join.,problems
Yes,,
Yes,,
No,I don't use facebook.,don’t have fb
No,I do not use Facebook,don’t have fb
No,I don't feel the need to personally.,no interest
Yes,,
No,I do not have a facebook account. ,don’t have fb
No,I don't have a facebook.,don’t have fb
No,The link has not worked for me. I received it but it does not connect to the Facebook page.,problems
Yes,,
No,"I do not use Facebook, but I may decide to get it so I can join the Facebook group later. ",don’t have fb
Yes,,
Yes,,
No,I just dont really use facebook,don’t have fb
No,I do not have Facebook.,don’t have fb
Yes,,
Yes,,
No,,
Yes,,
No,,
Yes,,
No, I do not have facebook.,don’t have fb
No,I was unaware of the Facebook group. ,didn't know about group
,,
No,I haven't gotten to it yet.,no interest
Yes,,
No,,
No,"I would like to, but I have not been in contact with anyone who would send a request to my email: bdeitch203@gmail.com",problems
Yes,,
No,too busy,no interest
Yes,,
No,No usable facebook,don’t have fb
Yes,,
Yes,,
Yes,,
No,I do not have a facebook,don’t have fb
,,
Yes,,
Yes,,
No,Will join soon,didn’t know about group
Yes,,
No,I do not have a Facebook account.,don’t have fb
No,"I am not very present on Facebook, although I have an account.",not active on fb
No,"I do not use Facebook, I don't like using that social media",don’t have fb
No,,
No,I do not have a Facebook. ,don’t have fb
No,I don't use Facebook,don’t have fb
No,"I did not have a facebook at the time, I would love to join it now!",don’t have fb
Yes,,
No,"I did get an invite and when I pressed on the link to the group, it said that the group did not exist. I'm not sure if there was something wrong with the link or what.",problems
,,
No,I tried searching for it multiple times but couldn't find it. The link I clicked on an email said the group didn't exist?,problems
No,I'm not sure I ever got an invitation to join.,didn't know about group
No,I do not have facebook. ,don’t have fb
No,I do not have a facebook account,don’t have fb
Yes,,
Yes,,
No,I don't use Facebook often.,don’t have fb
No,"I do not have a Facebook, Twitter is more common among teenagers ",don’t have fb
No,I have not been very active on social media as of recently.,don’t have fb
Yes,,
No,I have not been invited to join the group yet. ,didn't know about group
,,
Yes,,
Yes,,
Yes,,
No,The app won't let me join the group.,problems
Yes,,
No,"I forgot that there was a NCWIT Facebook group.  Now that I have been reminded by this survey, I will be sure to join.",didn't know about group
No,I didn't know there was a Facebook group for the program.,didn't know about group
No,I do not have a Facebook account ,don’t have fb
No,I don’t have a Facebook ,don’t have fb
,,
No,I attempted to join but the link gave me an error message.,problems
Yes,,
No,I don't use Facebook. I have an  account but it's not utilized. ,don’t have fb
No,I don't plan on continuing with the program.,other
Yes,,
No,Because I’m not on Facebook,don’t have fb
No,,
Yes,,
No,I don't use Facebook.,don’t have fb
Yes,,
Yes,,
No,"I'm have been meaning to join, I just haven't gotten around to it yet",no interest
No,The link did not work.,problems
,,
Yes,,
No,Im gonna join but im having email  issues because im using different emails,problems
No,I did not get any invitation about the event.  ,didn't know about group
Yes,,
No,,
Yes,,
No,My link to join is not working. I need to email to receive another link.,problems
No,Haven’t had the time ,no interest
No,"I just received my award, so I have not received an email inviting me to join the Facebook Group yet. I will definitely join once I receive it!",didn't know about group
No,I was not aware that there was a group,didn't know about group
No,I simply do not have Facebook.,don’t have fb
No,I have not been able to join it because when I tried to it did not let me for some reason.,problems
Yes,,
Yes,,
Yes,,
No,"I got the award recently, and I am waiting to be added.",didn't know about group
No,I don't have a Facebook,don’t have fb
No,I do not have a Facebook account and I need to get one.,don’t have fb
Yes,,
No,"Again, didn’t even know there was a chat.",didn't know about group
No,I must have missed the email and i am not very active on facebook.,didn't know about group
Yes,,
No,,
No,I don't use Facebook.  ,don’t have fb
No,I do not have a Facebook account.,don’t have fb
Yes,,
No,I no longer have a Facebook account ,don’t have fb
No,I did not get the email.,didn't know about group
Yes,,
No,I don't have an account,don’t have fb
Yes,,
Yes,,
Yes,,
No,I had technical issues that were never resolved.,problems
No,I am just not huge on social media and I do not know how to get on it very well. ,don’t have fb
No,I don't have a facebook,don’t have fb
No,I am going to. Midst not there yet.,don’t have fb
Yes,,
Yes,,
Yes,,
Yes,,
,,
,,
,,
Yes,,
Yes,,
No,I don't have a Facebook.,don’t have fb
No,I didn't know there was a Facebook group. ,didn't know about group
No,"I do not use Facebook, so I could not join the group.",don’t have fb
No,I did not know that NCWIT has a Facebook group.,didn't know about group
No,I have not been invited (yet?),didn't know about group
,,
No,I don't have a facebook ,don’t have fb
No,I do not have a Facebook.,don’t have fb
No,I tried but there was an error.,problems
Yes,,
No,I don't have a Facebook. ,don’t have fb
Yes,,
Yes,,
Yes,,
Yes,,
No,the link doesnt work,problems
No,My email for Facebook is different than the email I used in applying for NCWIT,problems
No,I never created an account with Facebook because I don’t feel safe or secure using it. I’m on Twitter though. ,don’t have fb
Yes,,
No,Have not yet received an invitation.,didn't know about group
No,I don't have a facebook.,don’t have fb
No,Do not have a Facebook,don’t have fb
,,
Yes,,
No,I do not have a Facebook ,don’t have fb
No,I do not currently have a Facebook,don’t have fb
No,I am not active on facebook and do not see the need to join the group if I am not going to use.,don’t have fb
Yes,,
No,I do not use facebook.,don’t have fb
No,I don't use facebook that much,don’t have fb
No,I do not use my Facebook account very much. ,don’t have fb
No,I don't have a Facebook,don’t have fb
Yes,,
No,,
Yes,,
,,
No,"I don't have a Facebook, but I will be making one soon so that I can join the NCWIT group.",don’t have fb
Yes,,
No,"I do not have a facebook, I am considering getting one. With the whole facebook scandal I am going to hold off for a while.",don’t have fb
No,I do not have a social media account. ,don’t have fb
No,I dont have facebook.,don’t have fb
No,I don’t use Facebook. ,don’t have fb
Yes,,
Yes,,
Yes,,
Yes,,
No,I do not have a Facebook.,don’t have fb
Yes,,
No,Do not have the link,didn't know about group
Yes,,
No,I do not have the link.,didn't know about group
Yes,,
,,
Yes,,
No,,
No,I do not have a profile on Facebook ,don’t have fb
No,I need to find the link to join the group.,didn’t know about group
No,Don't use social media,don’t have fb
Yes,,
Yes,,
No,Dont have Facebook,don’t have fb
No,,
No,I do not currently have a Facebook account.,don’t have fb
No,the link won't work ,problems
No,I don’t have a Facebook ,don’t have fb
No,"I was not aware that there was a Facebook Group. I will join it now, however.",didn’t know about group
No,I don't like facebook,don’t have fb
No,"I tried, but it wasn’t working",problems
No,I don't have a facebook.,don’t have fb
No,"I was sent a link, but it didn’t work. I would like to join though. I will soon reach out to the listed address here to try to join the group. ",problems
No,I am about to join it. Just have not yet.,no interest
Yes,,
Yes,,
Yes,,
No,I am not on Facebook.,don’t have fb
Yes,,
Yes,,
No,Didn’t know it existed,didn’t know about group
No,Because I do not actively use facebook,don’t have fb
No,The email address that the email regarding the Facebook group went to is not the same as my Facebook address. I sent an email to aiccommunity@ncwit.org to request an email to the correct email address but I did not receive another email. ,problems
No,I don’t use my Facebook very often.,not active on fb
No,I am not sure how to get to it.,didn’t know about group
Yes,,
No,I don’t have Facebook ,don’t have fb
Yes,,
Yes,,
Yes,,
No,No facebook,don’t have fb
No,I don’t have a Facebook account.,don’t have fb
Yes,,
No,I have not heard of this facebook group. ,didn’t know about group
,,
Yes,,
No,I was not aware there was a Facebook Group.,didn’t know about group
,,
,,
No,I do not have a Facebook.,don’t have fb
No,I didn't know I could join before getting an award,didn't know about group
No,I don’t have a Facebook account ,don’t have fb
Yes,I was ,other
No,I am not on Facebook,don’t have fb
No,because I do not own a facebook,don’t have fb
Yes,,
,,
Yes,,
No,,
No,I don't have facebook.,don’t have fb
No,When I clicked the link in the email and tried to join it wouldn’t work,problems
No,Didn’t know there was a page ,didn’t know about group
Yes,,
No,I do not have a facebook account.,don’t have fb
No,I didn't know there was a Facebook group. ,don’t have fb
No,I don’t have a Facebook,don’t have fb
Yes,,
No,Havent got around to it yet.,no interest
No,I use Instagram,don’t have fb
Yes,,
,,
No,I have not joined the Facebook Group because I do not have a Facebook account.,don’t have fb
No,I do not use facebook,don’t have fb
No,I don’t keep a Facebook account.,don’t have fb
Yes,,
Yes,,
No,"Because I do not have a facebook account. If I had one, I would join. ",don’t have fb
Yes,,
No,I currently do not use Facebook. I'll sign up for Facebook if this is the best way to communicate with other members of the AiC community. ,don’t have fb
No,I do not have a Facebook. ,don’t have fb
No,I am not a Facebook user.,don’t have fb
Yes,,
No,I don't have a Facebook,don’t have fb
No,I have not found it,didn't know about group
No,No invite yet,didn't know about group
No,I currently do not have a Facebook account.,don’t have fb
Yes,,
No,,
Yes,,
,,
Yes,,
Yes,,
,,
No,I am not a member of Facebook.,don’t have fb
No,I don’t have a facebook,don’t have fb
No,I don't have Facebook! Sorry.,don’t have fb
No,Was not aware it existed,didn't know about group
No,No real reason. I just don't use Facebook.,don’t have fb
No,I only use Facebook to follow friends/family,no interest
Yes,,
,,
No,I do not have a facebook,don’t have fb
Yes,,
Yes,,
No,I don't know how. ,didn't know about group
No,,
Yes,,
Yes,,
Yes,,
,,
No,"I was invited to join the group, but when I attempted to join, I wasn't able to join for some reason.",problems
No,Don't use Facebook Groups,no interest
No,I do not use Facebook ,don’t have fb
No,I don't use Facebook and with all the unauthorized data usage I don't plan on making a Facebook account any time soon. I also don't really like keeping up with social media so much anymore.,don’t have fb
Yes,,
No,I don’t have a Facebook account.,don’t have fb
Yes,,
No,,
Yes,,
No,,
No,I don't have Facebook.,don’t have fb
,,
Yes,,
Yes,,
No,I do not have Facebook,don’t have fb
No,Not on facebook,don’t have fb
No,,
No,I have not be invited ,didn't know about group
,,
Yes,,
Yes,,
No,I had a problem with my email. I emailed the NCWIT team and am currently waiting for a response.,problems
No,I do not have an active personal Facebook account.,don’t have fb
Yes,,
Yes,,
No,Because I didn’t want to.,no interest
No,don't have facebook,don’t have fb
No,I don't really use Facebook so I didn't bother,don’t have fb
Yes,,
No,I do not have an account. ,don’t have fb
,,
No,I didn’t know you had one,didn't know about group
Yes,,
Yes,,
No,I didn’t know it existed.,didn't know about group
Yes,,
No,I don't have a Facebook. If I did have one I would join the group.,don’t have fb
Yes,,
Yes,,
No,"I do not know how, and I haven't had time to figure it out at the current moment with robotics season in full swing.",didn't know about group
Yes,,
,,
No,I was unaware you had one.,didn't know about group
No,I don’t frequent Facebook often. ,not active on fb
No,I don't have a facebook account.,don’t have fb
No,,
No,I can’t remember my password ,don’t have fb
Yes,,
No,,
No,Do not have an Facebook account ,don’t have fb
Yes,,
No,I don't have/want a Facebook account,don’t have fb
No,I was never notified about it,didn't know about group
No,"I don't use Facebook. Some other forms of social media I use often are Instagram, Twitter, and Discord servers!",don’t have fb
No,I do not have a Facebook account,don’t have fb
Yes,,
Yes,,
No,"I was not aware that there was a group, and I am not a part of Facebook",don’t have fb
No,,
No,I don't have Facebook.,don’t have fb
Yes,,
Yes,,
No,"The group says it is ""closed"" and would not let me join",problems
No,"I do not have a facebook, an instagram or group me type thing would work better since most students no longer have Facebook",don’t have fb
No,I don’t have Facebook.,don’t have fb
No,I don't use Facebook anymore,don’t have fb
Yes,,
Yes,,
Yes,,
No,I do not have a Facebook.,don’t have fb
No,Facebook email is different from main.,problems
Yes,,
Yes,,
Yes,,
No,I am not a user of Facebook but should be!,don’t have fb
No,"I did not get an invitation to join the group, but I will send a request to aiccommunity@ncwit.org.",didn't know about group
No,As of now I do not have a Facebook account.,don’t have fb
No,I forgot  ,no interest
No,,
,,
No,I did not know there was a Facebook group. ,didn't know about group
Yes,,
Yes,,
No,I do not have a Facebook account and I never received the email.,don’t have fb
Yes,,
Yes,,
No,I did plan to join in the future (I am just not enrolled at this moment),didn't know about group
No,Don't have facebook,don’t have fb
No,I do not have a Facebook account.,don’t have fb
No,,
No,I don't have a Facebook.,don’t have fb
Yes,,
No,I have not been invited to join yet.,didn't know about group
Yes,,
,,
,,
No,I don’t have a Facebook account ,don’t have fb
No,"I am not planning on getting a Facebook account, sorry.",don’t have fb
Yes,,
Yes,,
Yes,,
No,I do not have a Facebook and will create one to join.,
Yes,,
No,I am not a user of facebook or many other social media applications,
,,
No,I do not use facebook,
No,I am not interested in having a Facebook,
No,"I tried to click on the link to access the page, but am redirected to a page with an error message.",
No,I don’t have a Facebook account,
No,I do not have Facebook,
No,I couldn't figure out how to join it. When I clicked the link on the email it said the page didn't exist. ,
Yes,,
Yes,,
Yes,,
No,I was not aware of it.,
Yes,,
No,I am not on Facebook and I do not like Facebook,
No,I do not have social media.,
No,,
Yes,,
No,I don't have a Facebook account currently.,
No,I have not received a notification to join the Facebook group,
No,I did not know NCWIT was on Facebook,
No,I tried to join when I received the link in my email but it would not allow me. It said that I wasn't allowed to because it was private.,
Yes,,
Yes,,
Yes,,
No,"I never got around to it, but I will soon!",
No,I didn't know that there was one.   ,
,,
No,I have not received an email explaining how to join the AiC Facebook community.,
Yes,,
No,I didn't receive an email telling me to join a facebook group or the award ceremony.,
,,
Yes,,
No,I do not have Facebook,
Yes,,
No,I do not have a Facebook.,
Yes,,
Yes,,
Yes,,
,,
No,I don't have a facebook,
,,
No,I didn't know their was a Facebook group.,
,,
Yes,,
No,,
No,Don’t have facebook,
No,"I do not have a Facebook and do not want to have a Facebook, however if it were on another network I would do it in no problem ",
No,I do not have Facebook.,
No,I haven't had the time to sign up for Facebook but I plan on joining soon.,
Yes,,
Yes,,
No,I don't have Facebook,
No,I just don’t have a Facebook account ,
No,I don't use Facebook,
No,Didn't recieve informationa about Faceboom group.,
Yes,,
Yes,,
No,I can't find it  ,
No,I don’t frequently use facebook,
Yes,,
Yes,,
No,"I never got an email that I won, I found out from the website today. I will join the group ASAP.",
No,I don't have a Facebook. ,
No,I have not join because I do not have facebook ,
Yes,,
No,I don’t have a Facebook account,
Yes,,
No,I wasn’t aware there was one.,
No,I don't have a Facebook.,
Yes,,
Yes,,
No,I do not use Facebook.,
No,I don't usually use facebook,
Yes,,
Yes,,
Yes,,
No,I don’t have Facebook ,
No,I don't have Facebook,
Yes,,
Yes,,
No,I do not have a Facebook,
No,I haven't joined because I don't use my facebook that often.,
No,"I don't have a Facebook and with the recent security issues , I'm not inclined to get one.",
No,I don't have Facebook.,
Yes,,
Yes,,
,,
,,
Yes,,
Yes,,
No,Hate Facebook,
Yes,,
No,I dont have social media ,
No,,
No,I did not know that it existed. ,
No,I do not have a Facebook Account ,
No,I don't use Facebook frequently.,
Yes,,
Yes,,
Yes,,
No,I don't have a facebook,
No,I do not use Facebook often,
Yes,,
Yes,,
No,I do not have Facebook.,
Yes,,
No,I do not have a Facebook account.,
No,I don't have a facebook.,
Yes,,
No,I didn't know it existed.,
No,,
Yes,,
No,"I do not have a facebook, and do not want to create one.",
,,
Yes,,
No,"The email associated with my facebook account is different than the email I used for NCWIT. So, my Facebook profile wasn't invited.",
No,"I have tried to join the group multiple times but everytime I try to, it says that the group does not exist.",
No,"I did not know this Facebook group existed. This survey is the first I've heard of it, and I did not know it was encouraged to be a member of this group",
No,I have no idea what the group is called. ,
Yes,,
No,I don’t know what the Facebook is called or how to join.,
No,I don’t use Facebook regularly.,
No,I’m not on Facebook ,
No,Because first of all I don't have a Facebook and don't intend on getting one and second of all I was never notified or informed about any of this,
Yes,,
No,I am waiting for a friend request because I can't find the group. I just sent an email asking to join the group!,
Yes,,
No,I do not have my own Facebook account.,
,,
No,I was unaware of the existence of such a group.,
,,
No,Don't have facebook.,
No,I do not have the link,
Yes,,
No,Because I was never notified that I won    I also do not use facebook,
Yes,,
Yes,,
Yes,,
Yes,,
Yes,,
No,,
No,I don't have a Facebook account because Facebook is lame.,
Yes,,
No,I am not active on Facebook,
Yes,,
